"DATA_CENTER_URL"	"SHORT_DCNAME"	"LONG_DCNAME"
"http://www.nasa.gov/"	"NASA"	"National Aeronautics and Space Administration"
"www.uwaterloo.ca/"	"UWaterloo"	"University of Waterloo, Canada."
"http://www.washington.edu/"	"UW"	"University of Washington"
"http://www.pk.edu.pl"	"PK"	"Cracow University of Technology (Politechnika Krakowska)"
"http://www.unige.ch"	"LBEA"	"University of Geneva"
"http://www.uga.edu"	"UGA"	"University of Georgia"
"http://www.gre.ac.uk"	"GRE"	"University of Greenwich"
"http://www.uni-hamburg.de"	"UHH"	"University of Hamburg"
"http://www.unc.edu.ar"	"UNC"	"University of Cordoba (Universidad Nacional de Córdoba)"
"http://www.bristol.ac.uk"	"Bristol"	"University of Bristol, United Kingdom"
"http://www.kul.lublin.pl"	"KUL"	"University of Lublin (Katolicki Uniwersytet Lubelski)"
"http://www.lboro.ac.uk/"	"LBORO"	"Loughborough University"
"http://www.le.ac.uk"	"LE"	"University of Leicester"
"http://www.ekol.lu.se"	"LU-EKOL"	"Lund University, Dept. of Plant Ecology"
"http://www.geol.lu.se"	"LU-GEOL"	"Lund University, Department of Geology"
"http://www.nasa.gov/centers/langley/home/index.html"	"NASA Langley"	"NASA Langley Research Center"
"http://www.ggy.bris.ac.uk/"	"Bristol"	"University of Bristol, School of Geographical Sciences, Bristol Glaciology Centre"
"http://www.uni-tuebingen.de"	"UT"	"University of Tübingen"
"http://www.sussex.ac.uk/"	"Sussex"	"University of Sussex"
"www.usp.br"	"USP"	"University of Sao Paulo"
"http://www.stir.ac.uk/"	"STIR"	"University of Stirling"
"http://www.utoronto.ca/"	"UTORONTO"	"University of Toronto"
"http://www.waseda.jp"	"Waseda"	"Waseda University"
"http://www.univ-nantes.fr"	"UdN"	"University of Nantes (Université de Nantes)"
"http://www.uni-muenchen.de/index.html"	"LMU"	"Ludwig-Maximilians-Universität München"
"http://www.uni-marburg.de/"	"PUM"	"University of Marburg (Philipps-Universität Marburg)"
"http://www.manchester.ac.uk/"	"Manchester"	"University of Manchester"
"http://www.umaine.edu/"	"UMAINE"	"University of Maine"
"http://www.insa-lyon.fr"	"INSA Lyon"	"University Lyon (INSA Lyon)"
"http://www.uci.edu/"	"UCI"	"University of Irvine"
"http://www.uj.edu.pl"	"UJ"	"Jagiellonian University"
"http://www.niif.spbu.ru"	"SPBU"	"St. Petersburg State University, V.A. Fock Institute of Physics"
"http://www.cornell.edu/"	"Cornell"	"University of Cornell"
"http://www.uni-passau.de/"	"UP"	"University of Passau"
"http://www.upenn.edu/"	"Penn"	"University of Pennsylvania"
"http://www.niwa.cri.nz/"	"NIWA"	"National Institute of Water and Atmospheric Research"
"http://www.oulu.fi"	"OULU"	"University of Oulu"
"http://www.uma.es"	"UMA"	"University of Malaga (Universidad de Málaga)"
"http://www.bio.uu.nl/~palaeo/index.html"	"UU"	"Utrecht University, Department of Palaeoecology"
"http://www.mtholyoke.edu/acad/geo/index.shtml"	"MHC Earth and Environment"	"Mount Holyoke College Earth and Environment"
	"UiB"	"University of Bergen, Department of Earth Science"
"http://www.rhul.ac.uk/"	"RHUL"	"University of London, Royal Holloway"
"www.cbk.waw.pl "	"PAS SRC"	"Polish Academy of Sciences, Space Research Center"
"http://www.agh.edu.pl/"	"AGH-UST"	"AGH - University of Science and Technology"
"http://www.uihome.uidaho.edu"	"UIDAHO"	"University of Idaho"
"http://www.hi.is"	"HI"	"University of Iceland"
"https://www.uni-hohenheim.de"	"UH"	"University of Hohenheim, Institute of Soil Sciences"
"http://www.helsinki.fi/university/"	"UoH"	"University of Helsinki"
"http://www.erau.edu/"	"ERAU"	"Embry Riddle Aeronautical University"
"http://perseus.herts.ac.uk"	"HERTS"	"University of Hertfordshire"
"http://www.tu-berlin.de"	"TU"	"Technical University of Berlin (Technische Universität Berlin)"
"http://web.abo.fi"	"ABO"	"Åbo Akademi University"
"http://www.uni-duisburg-essen.de/"	"UDE"	"University of Duisburg-Essen"
"http://www.unica.it"	"UNICA"	"University of Cagliari (L'Universita' di Cagliari)"
"http://www.unibas.ch/"	"UNIBAS"	"University of Basel"
"http://www.harper-adams.ac.uk/"	"Harper Adams"	"Harper Adams University College"
"http://www.smru.st-andrews.ac.uk/"	"SMRU"	"University of St. Andrews, Sea Mammal Research Unit"
"http://www.spbu.ru"	"SPBU"	"St. Petersburg State University"
